INFO:root:Start initializing
INFO:root:Finish building module: reward agent, user ppo, system ppo
INFO:root:Training user policy with true reward and the initial system
INFO:root:Episode 50, Avg length: 20,  Avg reward: 0
INFO:root:Episode 100, Avg length: 20,  Avg reward: 0
INFO:root:Episode 150, Avg length: 20,  Avg reward: 0
INFO:root:Episode 200, Avg length: 20,  Avg reward: 0
INFO:root:Episode 250, Avg length: 20,  Avg reward: 0
INFO:root:Episode 300, Avg length: 20,  Avg reward: 0
INFO:root:Episode 350, Avg length: 20,  Avg reward: 0
INFO:root:Episode 400, Avg length: 20,  Avg reward: 0
INFO:root:Episode 450, Avg length: 20,  Avg reward: 0
INFO:root:Episode 500, Avg length: 20,  Avg reward: 0
INFO:root:Episode 550, Avg length: 20,  Avg reward: 0
INFO:root:Episode 600, Avg length: 20,  Avg reward: 0
INFO:root:Episode 650, Avg length: 20,  Avg reward: 0
INFO:root:Episode 700, Avg length: 20,  Avg reward: 0
INFO:root:Episode 750, Avg length: 20,  Avg reward: 0
INFO:root:Episode 800, Avg length: 20,  Avg reward: 0
INFO:root:Episode 850, Avg length: 20,  Avg reward: 0
INFO:root:Episode 900, Avg length: 20,  Avg reward: 0
INFO:root:Episode 950, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1000, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1050, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1100, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1150, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1200, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1250, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1300, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1350, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1400, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1450, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1500, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1550, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1600, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1650, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1700, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1750, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1800, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1850, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1900, Avg length: 20,  Avg reward: 0
INFO:root:Episode 1950, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2000, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2050, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2100, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2150, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2200, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2250, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2300, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2350, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2400, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2450, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2500, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2550, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2600, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2650, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2700, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2750, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2800, Avg length: 20,  Avg reward: 0
INFO:root:Episode 2850, Avg length: 20,  Avg reward: 0
